Newspaper Name,Issue No,Date ,Content
"The New-York Gazette: or, The Weekly Post-Boy",762,8/29/1757,"New-York, August 23, 1757. Run or let away this Day from Lane’s Ferry, a Negro Man who had his Hands pinioned behind him, and belonged to the Sloop Margaret and Mary, John Baddeley, Master of So. Carolina. His Name is Scipio, about five feet five inches high, of a middling Bulk, a little Pock-markt, his Mouth extends more than common, has a large Bump over one of his Eyes, his Buttocks pretty well marked with the Lash, speaks pretty good English, though somewhat thick, was born at St. Christophers, and says he understands something of the Cooper’s Business. Had on when he went away, an Oznabrigs Frock and Trowsers, and a W orsted Cap. Whoever takes up the said Negro, and delivers him to Capt. John Schermerhorn, in New-York, shall receive Three Pounds Reward, and all reasonable Charges. Any Person that harbours or carries the said Negro off in any Boat, Barque, or Vessel whatever, may depend on being prosecuted to the utmost Rigour of the Law."
"The New-York Gazette: or, The Weekly Post-Boy",768,10/10/1757,"Run away from Caleb Ferris, of East-Chester, a Negro Man slave called Joe, aged about 25 years. He is a lusty well fed Fellow every Way, about five Feet Ten inches, thick shoulder’d, full round Face, speaks altogether English, his Hair frizzled, being half Indian. He has been voyage privateering, and is a great Fiddler. He has a large Leg and broad Foot, and commonly wears Sailors Habit. He was bom at Westchester, and sometimes pretends to be free. Whoever takes up the above described Slave, and will secure him so that his Master can have him again, shall have Six Pounds Reward, paid by CALEB FERRIS. N.B I hereby forbid and forwarn all Persons dealing with, entertaining, or employing him, under any pretence whatsoever. And I further forwarn all Masters of Vessels, Captains of Privateers, from taking him on board, or carrying him off under any Pretence whatsoever. September 25, 1757."
"The New-York Gazette: or, The Weekly Post-Boy",774,11/21/1757,"Ran away on the 8th of November, Inst, from James Carrol, of this City, a Negro Wench, aged about five or six and thirty Years old, or thereabouts, called Rose, formerly called Grace, talks but very indifferent English. Had on when she went away, a striped Homespun Joseph, an old red Cloth Petticoat, white Yarn Stockings, and old Shoes, lame in one of her Legs, with a broken Shin. Whoever secures the said W ench, shall have Twenty shillings Reward, and all reasonable charges paid by JAMES CARROLL. November 21, 1757."
The Pennsylvania Gazette (Philadelphia),1512,12/15/1757,"Philadelphia, December 9, 1757. Runaway last M onday from the subscriber, living in Cranberry, in the County of Middlesex, in New Jersey, a Spanish Negroe Man, named John Juster, about 5 feet 7 or 8 inches high, a well-built fellow of a yellow Complexion; had on when he went away an old Felt Hat and a Worsted Cap, an old brown coat and blue Jacket, old blue Plush Breeches, Yarn and Worsted stockings and old Shoes. Whoever takes up and secures said Negroe, so that his Master may have him again, shall have Thirty Shillings reward, and reasonable charges paid by John Reid, junior. N. B. He served Four Years at Lawrence’s Farm in said County, and has his old indentures with him which may be used of for a Pass. All Masters of Vessels are forbid to carry him off at their Peril."
"The New-York Gazette: or, The Weekly Post-Boy",779,12/26/1757,"New-York, Decemb. 24th, 1757, Ran away last Night from the Sloop Walter, W illiam Price, Master, lying in Rotten Row; a Negro Man, named Ralph; about 25 years of Age, about 5 feet, 4 inches high, smooth-faced, thick lipped; speaks good English. Had on when he went away, a blue Jackett, and a Drab colour’d Do. and a white Flannel Waistcoat, a grey pair of Stockings, much worn, with a pair of black worsted one’s under them. Any Person taking up the said negro, and bringing him to Mr. W addel Cunningham, Merchant, New-York, or to Mr. Alexander Hamilton, Merchant in Philadelphia, shall receive 5 dollars reward, and reasonable charges."
"The New-York Gazette: or, The Weekly Post-Boy",780,1/2/1758,"Run away from the subscriber, about five weeks ago, a young negro man called Hanibal, alias Sandy, born at Barbados: He is about 5 feet long, thick lip’d, and thick cheek’d, has a down look, a scar under his chin; a fellow that will talk much; had on when he went away, a brown short jacket with hooks and eyes, a black and white strip’d homespun double-breasted jacket, a leather pair of breeches, and an old wigg and hat. Whoever secures the said negro, so that his master may have him again, shall have forty shillings reward and all reasonable charges paid by Cornelius Tiebout."
"The New-York Gazette: or, The Weekly Post-Boy",785,2/6/1758,"Run away on Sunday last the 29th January, from Philip Duley, living in Bloomendall, on York-Island, a Negroe man, called Tom, late the Property of Jacobus Kip, about four Foot, five Inches high, well fed, speaks broken English; had on when he went away, a brown Cloth Coat, Buttons of the same, Buckskin Breeches, grey Yarn Stockings, Brass Buckles in his shoes, a good Felt Hat, with a Pewter Tutton on it, w ork’d like a Hair Button: Whoever takes up the same Negro and secures him so that his Master may have him again, shall have Twenty shillings Reward, and all reasonable charges by PHILIP DULEY."
"The New-York Gazette: or, The Weekly Post-Boy",789,3/6/1758,"Run away from Edmund Matthews of Livingston’s Manor about the Beginning of this Month, a Negro Fellow about 20 years of age, has a smooth face and has a very thick build; had on when he went away, a Bearskin coat, white cloth Breeches, a blue and white striped Holland shirt, and a grey Pair of stockings. It is thought that he will try to go out in some of the Privateers. Whoever takes up and secures the said negro so that his Master may have him again or gives notice to James Carrol of the City of New York, Butcher, or at the New-Printing Office, in Beaver-Street, shall have Forty Shillings Reward and all charges paid."
"The New-York Gazette: or, The Weekly Post-Boy",798,5/8/1758,"Run away on Monday last, from John Hastier, of this city, Goldsmith, a lusty well-set Negro Man, named Jasper, about 5 feet, 6 inches high, speaks good English and understands the Silversmith’s trade. Had on when he went away, a brown Forest cloth coat with flat Pewter Buttons, blue Waistcoat, with same Sort of Buttons; a Leather Breeches, with the like Buttons, old Hat, broken Yarn stockings, and old shoes. W hoever takes up the said Negroe, and secures him so that his master may have him again, shall have Four Pounds reward and all reasonable charges paid by JOHN HASTIER."
"The New-York Gazette: or, The Weekly Post-Boy",809,7/3/1758,"Run away from Mr. Thomas Scramshaire of this city, the 5th instant, a mulatto wench named Fanny about 5 feet 4 inches high, and talks good English has a smiling Countenance and black-curled Hair, full-breasted; she had on when she went away a small black silk Hat, a large cross barred blue and white striped Stuff gown and an old red quilted petticoat with a Bundle of several other Things, the Contents as yet unknown—Whoever takes up and secures or discovers where the said Fanny is harboured so that her Master may have her again shall receive 20 shillings reward if taken up in the town, and 40 shillings if cross’d any ferry, with all other reasonable charges that might arise thereupon: and whoever shall offer to harbour or entertain the said wench may depend upon being prosecuted to the utmost Rigour of the law by me, Thomas Scramshaire."
"The New-York Gazette: or, The Weekly Post-Boy",812,7/24/1758,"Run away from Ide Meyer on the 20th of June last, a Mulatto Wench named Ohnech, but goes by the name Hannah and pretends to be free: She is about 4 feet 4 inches high and 28 years of age; is well set and speaks both English and Dutch very well, had on when she went away a home spun stole, a petticoat, Blue short cloak and white cap; whoever takes up and secures the said wench so that her master may have her again shall have Twenty shillings reward and all reasonable charges paid by me Ide Myer. N.B. All persons are forewarned to entertain her and all masters of Vessels to carry her off at their peril."
"The New-York Gazette: or, The Weekly Post-Boy",812,7/24/1758,"New-York, July 16, 1758. Run Away on the 10th of this inst. July from James Swan, of this city, pilot; a negro man named York, about 5 feet 8 inches high, of a slender make, talks pretty good English, is a good cook, can play on the violin, and shave, and dress wigs;— He had on when he went away, old shoes, and carv’d silver buckles, blue and red worsted plush breeches, old trowsers, check shirt, a blue jacket, a small-cropt hat, with yellow worsted ringing round it; and steps pretty long: He formerly belonged to Lawrence Lawrence, of this city, merchant.—Whoever takes up the said negro, and secures him so that his master may have him again, shall have, if within the city, 20s. if between it and K ing’s-Bridge, 30s. and 40s. if farther, and all reasonable charges, paid by JAMES SWAN. All master of vessels, and captains of privateers, are forwarned from carrying him to sea, or harbouring him on board their vessels, as they may expect to answer it at their peril."
"The New-York Gazette: or, The Weekly Post-Boy",817,8/28/1758,"Run away on the 13th of August Instant, from W illiam Peartree Smith, Esq., of Elizabeth-Town in New-Jersey; a Negro Man named Prince, had on a Leather cap, Linnen Waistcoat and breeches, coarse blue stockings, a thick pair of shoes, speaks Dutch and English, has lived in Jamaica in the West-Indies with Mr. Simon Parsco, and in Duchess County in New York with Mr. Nixon, has been lately seen in New York, and it is said passed King’s Bridge, where he showed a pass and pretended that he belonged to a Butcher in New York, and was going in to the country to fetch cattle for his master: whoever secures him in any of his M ajesty’s Goals, so that his master may have him again, shall be well rewarded."
"The New-York Gazette: or, The Weekly Post-Boy",820,9/13/1758,"Run away yesterday morning from Joseph Griswold of this city, distiller; a middle siz’d Negro man, aged about 40, speaks little or no English, as he mostly lived with the French: had on when he went away, a short blue sailor’s jacket, and trowsers, a check shirt, and old hat. His name is Frank or Francois—Whoever takes up said Negro fellow, so that his master may have him again, shall have twenty shillings reward, and all reasonable charges paid by JOSEPH GRISWOLD, living in Pearl-Street."
"The New-York Gazette: or, The Weekly Post-Boy",820,9/13/1758,"Run away from the Subscriber, living at Philipsburg, a Mulatto Servant Man, named Henry, aged 23 years, about 5 feet 8 inches high; has a Scar on his forehead; took with him a greasy Beaver Hat; wore a brown homespun Coat; took away with him a blue Jacket and several other things; he plays very well on the Violin.—Whoever secures the said Mulatto so that his Master may have him again, shall have 20 shillings reward and all reasonable charges paid by Samuel Devenport."
The New York Mercury,321,10/9/1758,"Run-away on Monday the second Instant, from Benjamin Williams, a Negro Man, named Bristol, about 5 feet 7 inches high, aged about 26 Years: Had on when he went away a red Jacket, brown Great-Coat, brown Camblet Breeches and wide trowsers, a pair of new shoes, with strings, and a new felt hat: Whoever takes up said Negro fellow and brings him to his said master at Newark or to Daniel Nap, in New York, shall have Forty Shillings Reward and all resonable charges paid by Benjamin Williams."
"The New-York Gazette: or, The Weekly Post-Boy",832,12/11/1758,"Run away from Benjamin Williams, of Newark in East New Jersey, on Monday the 4th Instant; A Negro Man, about 26 years of age, five feet seven inches high; had on when he went away, a Jersey Provincial Coat, red Jacket, and wide trowsers; speaks good english, and plays well on the Violin. Whoever secures said Negro, and brings him to me, shall have Forty shillings reward, and all Charges paid, by BEN WILLIAMS."
"The New-York Gazette: or, The Weekly Post-Boy",833,12/18/1758,"Run away on the 23rd of December, 1757, from the sloop W alter, of Maryland, then lying at Hunter’s Quay, in New York; a Negro Fellow named RALPH, Maryland born; about 5 feet 6 inches high; speaks hoarse and thick, and is a great Chewer of Tobacco; flat nose and very thick lip’d, and wide mouth’d. He has been scalded on the Back of his left hand, and up his arm, by which the scar thereof appears; and is of a swarthy complexion: He has also a great many Dents in the Top of his Head, which seem to be the Ward-end of a key: he has the Use of his left Hand better than his Right; and is what is commonly called left-handed: he has had the Small-Pox, but not much pitted It’s expected he is on board some of the Privateers belonging to this city. Whoever takes up and secures the above Negro, so that his master may have him again, shall have FIVE POUNDS Reward,— if in or near New York, the Reward will be paid by Samuel Bowne, M erchant;— if in Philadelphia, by Reefe M eredith, M erchant,— and if in Maryland, by James Campbell (the Owner) in Charles Country; besides all reasonable charges."
"Parker's New-York Gazette; or, The Weekly Post-Boy",838,1/22/1759,"Ran away from Richard Harris, of Staten Island, the 14th Instant; a Negro man named Tom, speaks good English, about 30 years of age. Ran away at the same time a Negro Boy named Harry, 14 years old, has an Impediment in his speech, speaks good French, and has lost one of Fore Teeth: They both had light coloured Kersey jackets, with white flowered Metal Buttons; Harry had a cap on, such as Mariners generally wear, and Tom had a Great coat with a cap to it, that covered his head on Occasion. Whoever takes up and secures said Negroes, so that their Master can have them again, shall receive twenty shillings reward for each, and all reasonable Charges paid by RICHARD HARRIS."
"Parker’s New-York Gazette; or, The Weekly Post-Boy",839,1/29/1759,"TEN POUNDS Reward: Run away on Wednesday Night last, from the Subscriber, a Negro fellow named Jack, wellset, and not very black: Had on when he went away, a brown Pea-jacket, and a blue under one: He also took with him a Pair of Buck-skin Breeches. Whoever takes up and secures said Negro Fellow, so that his Master may have him again, shall receive TEN POUNDS Reward, and all reasonable charges paid by Wm. Brown John. All Masters of Vessels and others, are forbid to carry off said Fellow, at their peril."
"Parker’s New-York Gazette; or, The Weekly Post-Boy",858,5/28/1759,"New-York, May 16, 1759. Run away from Nicholas Jones, and Luke Ryerson, of Paughquanack in the County of Bergen, on Sunday Night the 13th Instant, Two Negro Men Slaves, one named Peter, a lusty well set Fellow about 5 feet 6 inches high, had on when he went away, a linsey woolsey Jacket with Pewter Buttons, Leather Breeches, new Shoes with Brass Buckles, a worsted Cap and Felt Hat. The other named York, is about 5 foot high, pretty much pock-broken, he had on when he went off, a greenish homespun Jacket, a Castor Hat almost new, and a worsted Cap; they also took with them sundry other Cloaths, a Dog, a Gun, and a Fiddle: W hoever apprehends the above mentioned Negroes, and secures them in any Goal so that their Masters may have them again, shall receive FORTY SHILLINGS Reward for each, and all reasonable Charges paid, by NICHOLAS JONES, And LUKE RYERSON. N.B. All masters of Vessels, Captains of Privateers and others, are forbid to entertain, or carry off said Fellows at their Peril."
"Parker’s New-York Gazette; or, The Weekly Post-Boy",860,6/21/1759,"Forty-Five Pounds, Proclamation Money, Reward. Runaway last night from the subscribers living in Hopewell, In New Jersey, one Mulatto, and three Negroe Men, viz. The Mulatto named Bood and a Negroe named Bristol, the property of William Hunt, is about five feet ten inches high and pretty well set; they each had a dark colour’d coat, several Shirts and Pairs of Shoes, Stockings and Breeches: for taking up and bringing back to his Master, Twenty Pounds Reward for Bood and Ten Pounds for Bristol. A Negroe Man named Jack, thick and well set, the property of John Hart, took with him a Cloth Coloured Kersey Coat, several Shirts and Pairs of Breeches, Shoes and Stockings: Ten Pounds will be given for taking him up and bringing him back to his Master. Also a Negro man named Tom, short and well set, the property of Joseph Calder, took with him a dark coloured coat, several shirts, Pairs of Breeches, Shoes and Stockings. Five Pounds reward will be given for taking him up and returning him to his Master. It is supposed they all went away and will travel together, and that they are gone to some of the Indian Towns upon Sasquehannah, the M ollatto Bood, having been entertained by the Indians there several months, some years ago; they took two Guns, two or three Hatchets and several Blankets with them. William Hunt, John Hart, Joseph Calder."
"Parker’s New-York Gazette; or, The Weekly Post-Boy",865,7/30/1759,"RUN-AW AY, On Friday the 18th Day o f M ay, from JAMES I. ROSS of the Nine-Partners in Dutchess-County, a Negro Man Named Dick, but sometimes called Martin, speaks good English and Dutch, about Thirty or Thirty-three years of Age, a middling tall slim Negro; had on when he went away, a woolen check Shirt, and took with him a linnen check Shirt, a purple blue napt Jacket, lined with yellow Flannel, a Pair of Linnen Trousers; and took with him a Pair of Check Trousers, a Pair of black and white Stockings, a Thread of white and a Thread of Black twisted together, a Pair of grey Stockings, a great Coat of a Yellowish Brown, and a worsted Cap:—Whoever takes and secures said Negro, so that his Master may have him again, shall have THREE POUNDS Reward, and all reasonable Charges paid, by Dutchess-County, May 18, 1759. JAMES I. ROSS."
"Parker's New-York Gazette; or, The Weekly Post-Boy",868,8/20/1759,"Run away on the 6th Instant, from Joshua Hatfield, of the White Plains, in West-chester County, Province of NewYork, a negro man named Will; he is about 26 Years of Age, thin visag’d, and slim Bodied;— Had on when he went away, a home-spun Jacket, of different colours, but may change his Cloaths perhaps, and talks good English.whoever takes up said negro, and will secure him so that his master may have him again, or will bring him to Capt. Abraham Hatfield, or Dr. Graham, of the White-Plains aforesaid, shall receive, if taken within Twelve miles of the said Plains, 16 Shillings, and if farther, 40 Shillings Reward, and all reasonable Charges paid by me Joshua Hatfield. N.B. All masters of Vessels, or Captains of Privateers are here by forwarned from carrying off said Negro, as they may expect to answer the same at their Peril."
"Parker’s New-York Gazette, or, The Weekly Post-Boy",869,8/27/1759,"Run away from Dennis Hicks, of Phillipsbourg, in W estchester County and the Province of New York, a mulatto man named Bill, aged about 20 years. Had on a brown Camblet waistcoat without sleeves and one Camblet ditto lined with silk, a pair of new blue stockings,a pair of new shoes, a pair of Leather Breeches and old Trousers, and one pair of striped ditto, a coarse felt hat stitched around the brim with white yam. he has a long sharp nose with a black Mole on the Right side of his face near his Nose; has very large Ears, speaks good English and pretends to be free, he says that he has a White Mother and was born in New England. He is of middle size and has a thin visage with his hair cut off. All persons are forbid to harbour him and all masters of vessels are forbid to carry him off, as they will answer it at their peril. Forty shillings reward for securing him in any gaol, or bringing him to me so that I may have him again, and reasonable charges paid by Dennis Hicks. N.B. This fellow was advertised in the New York papers on the 5th of June, and in Newhaven the 11th of June, and was afterwards taken up in Waterbury, and was put into Litchfield gaol and from thence he was brought to Bedford, and there made his escape from his master again. Those who apprehend him are desired to secure him in Irons. He was taken up by Moses Foote of North Waterbury in New-England. It is likely he will change his clothes as he did before. The Mole above mentioned is something Long."
"Parker’s New-York Gazette; or, The Weekly Post-Boy",874,10/1/1759,"Run away from the subscriber, living at the great Nine Partners in Dutchess County, a negro man named Jack Green, about 5 feet 8 inches high, well made and a strong fellow: Had on when he went away, a blue Jacket and Check Trousers. Whoever takes up and secures the said negro so that his master may have him again, shall receive Twenty Shillings reward and all reasonable charges paid by Joel Gillet. N.B. He took a dark Bay Horse with him."
"Parker’s New-York Gazette; or, The Weekly Post-Boy",874,10/1/1759,"Run away on Wednesday the 26th of September last, from Captain Thomas Davies of the City of New-York, a mulatto wench named Fanny, with her young child about 8 months old, the said Wench is pretty tall and had on when she went away a red and white striped Cotten Gown, a striped blue and white Petticoat, and a Cap without any Border: Whoever takes up the said Wench and brings her to the said Thomas Davies at the sign of the Harlequin at the Whitehall Slip, shall have Twenty Shillings reward and all reasonable charges paid by Thomas Davies. October 1, 1759."
"Parker’s New-York Gazette; or, The Weekly Post-Boy",881,11/19/1759,"Run away on the 29th day of October from Richard Barnes of Harrison’s Purchase in W est-Chester County and the Province of New York, a negro man named Peter, but he may perhaps change his name, he is about 26 years of age, is short and well set, has had the Small-pox but had it easy and turns his Toes within as he Walks, he is a fine bold sulking Fellow. Had on when he went away a good Felt Hat, a new Woolen Jacket of a dark Colour almost new and an old Bearskin Jacket under it, one or two Shirts and a pair of Wollen Britches and one Pair of blue Stockings, but it is very likely he may Change his Apparell. Whoever takes up the said negro so that his Master may have him again shall have Twenty Shillings reward if taken within 20 miles, and Forty Shillings if taken farther off paid by me, Richard Barnes. N.B. It is supposed he will go either to the army or sea; therefore all Captains of Vessels are forbidden to carry him off at their Peril."
"Parker's New-York Gazette; or, The Weekly Post-Boy",889,12/31/1759,"New-York, December 31, 1759, RUN-AWAY, from Charles Lewis, of the City of New-York, Mariner, the 20th Instant, a negro fellow named Harry, about 5 feet nine Inches high: Had on when he went away, an old green Jacket, and a white one under it, wore a Cap, and Woolen ribb’d Stockings, and had an Iron Collar round his neck, which is not visible without examination. Whoever takes up said Negro Fellow and secures him so that his Master may have him again, shall receive Twenty Shillings reward, and all reasonable Charges paid, by CHARLES LEWIS."
"Parker's New-York Gazette; or, The Weekly Post-Boy",894,2/18/1760,"Run away on Friday the Eighth of February inst. From John Sebastian Stephany, Chymist, a Negroe Man, named Pompey, he had a wooden Leg on when he went away, a white Coat, an Ozenbrigs Shirt, tow Cloth Trowsers: Whoever takes up the Said Negroe, and brings him to his said Master, shall have Twenty Shillings Reward, paid by JOHN SEBASTIAN STEPHANY. N.B. He inclines to go to Sea, all Masters of Vessels are forbid to carry him away, as they shall answer it at their Perril."
"Parker's New-York Gazette; or, The Weekly Post-Boy",898,3/17/1760,"New-York, M arch 17, 1760. Saturday Evening Run-away from on Board the Snow Sadler, a Negroe Boy named Glasgow, aged about 18 Years, has got several Cuts in his Forehead, has a very clumsy Walk, and talks very broken English: Had on when he went away, a blue great Coat, a plain white Swan-skin Jacket, a pair of Trowsers, a pair of light blue Stockings joined in the Middle, and new pair of Shoes. W hoever takes up the said Boy, and brings him to his Master, shall have a Reward of THREE POUNDS, and all reasonable Charges paid by Captain W ILLIAM FITZHERBERT, now living at the New-Dock. N.B. All House-Keepers and Masters of Vessels are forbid to harbour the said Boy, for if they do, they may depend on being prosecuted according to Law."
"Parker’s New-York Gazette; or, The Weekly Post-Boy",901,4/14/1760,"FLUSHING, on LONG-ISLAND, March 30, 1760. RUN­ AWAY from Barnabus Ryder a Negro Man named Caesar, aged about 25 Years, this country born, he is not a right Black, has a little of the Yellowish Cast, a pretty lusty Fellow, Talks good English, but Stutters a little in common, and if frightened he stutters very much; He is Remarkable for losing one of his Fore Teeth: Had on when he went away a light colour’d Devonshire-kersy Coat, a Soldiers Red Jacket, Breeches and Hat, a pair of old Shoes. Whoever takes upon the said negro Man and bring him to his said Master, shall have 40 Shillings Reward, and all reasonable Charges paid, by BARNABUS RYDER, now living at Flushing. N.B. All House-keepers and Masters of Vessels are forbid to harbour said Negro Man; if they do, they may depend on being Prosecuted according to Law."
The Pennsylvania Gazette (Philadelphia),1644,6/26/1760,"U pper-Freehold, June 16, 1760 Runaway from the subscriber, last night, a Negroe Man, named Abraham, aboput five feet ten inches high, 21 years of age and of a very black Colour: Had on when he went away, a brown Jacket, with Pewter Buttons, a half worn Felt Hat, one Pair of half worn Shoes, and one pair of Worsted Stockings. He also took with him two Pair of Trowsers, four Shirts, one pair of Cotton Stockings and one Crape Neckcloth. Whoever takes up and secures said Negro so that his Master may have him again, shall have Forty Shillings reward, and reasonable charges paid by me. John Cox."
"Parker’s New-York Gazette; or, The Weekly Post-Boy",912,6/30/1760,"Run away on Friday the 6th of June, from Roger Barnes, a negro boy named Tom, aged 14 or 15 years, born in NewYork, pretty black. Had on when he went away a felt hat, an Osnabrigs shirt and trousers, deep blue broad cloth jacket, the Fore-parts lined in two Colours, red and brown cloth, with white Buttons. Whoever takes up the said negro so that his Master may have him again shall receive Forty Shillings reward and all reasonable charges paid by Roger Barnes. N.B. All persons are forbid to harbour said negro."
The New York Mercury,416,8/4/1760,"Run-Away from the Subscriber living at Bergen in NewJersey on Wednesday the 30th of July, a Negro fellow named Robin, about 25 years of age, five feet 8 inches high, and speaks good Dutch and English, this Country bom, is a slim yellow Fellow and had a down look: Had on when he went away, a blue Cloth Jacket and Tow Trowsers. Whoever takes up and secures said Fellow, if in New York, shall have Forty Shillings, and if out of the Province of New York, Three Pounds and all reasonable charges paid by Thomas Brown in New-York or George Codiments. N.B. All Masters of Vessels and others are forbid to carry him off or harbour him."
"Parker's New-York Gazette; or, The Weekly Post-Boy",931,11/6/1760,"Run away from John Waddell the 6th Instant, a negro man named Charles, about 24 years old, a likely middle fine Fellow, talks good English, this Country born; he formerly belonged to Colonel Moore, is well known in town and in Harlaem, and was seen last Saturday night in Harlaem. Whoever takes up said negro and brings him to his master shall have Five Pounds reward paid by John Waddell. N.B. He reports that he is a free negro and has a Counterfeit pass or Certificate, in order to induce any Commander of a vessel to take him off."
"Parker's New-York Gazette; or, The Weekly Post-Boy",933,11/20/1760,"Forty Dollars reward and all reasonable charges shall be paid to any person that secures and brings to William Kelly of the City of New York, merchant, a negro man named Norton Minors who ran away from his masters, Messrs. Bodkin and Farrall on the Island of St. Croix, on the first Day of July last; is by trade a Caulker and Ship Carpenter, has lived at Newbury in New England, was the property of Mr. Mark Quayne, who sold him to Mr. Craddock at Nevis, from whom the above gentlemen bought him about three years ago, is about five feet eight inches high, aged about 37, speaks English, reads and writes, and is a very sensible fellow."
"Parker's New-York Gazette; or, The Weekly Post-Boy",940,1/8/1761,"New-York, December 24, 1760, Ran away the 24th of September last, from John Mersereau, Carpenter, of StatenIsland, a Negro Man named Hank, aged about 25 Years, five Feet, seven Inches high, is partly black, and has a Hair Mole, on his right Cheek; he speaks better Dutch than English, had on a brown homespun Cloth Coat, full made, and a pair of Trowsers:—He formerly belonged to one Mr. LeRoux, and also to one Mr. Campbell, both of Tapan, in Bergen County, and it is strongly suspected that he is still lurking or concealed either at Tapan or Kakeat, in the said County. Whoever takes up, and secures the said Negro, so that his Master may have him again, shall have FIVE POUNDS Reward, and all reasonable Charges. And if any One will give certain Intelligence of his being entertained or concealed so that the Offender may be brought to justice, He shall have FIFTEEN POUNDS Reward, upon Conviction, besides all reasonable Charges, paid by JOHN MERSEREAU."
The New-York Gazette (Weyman’s),108,2/16/1761,"RUN AWAY from the Subscriber, on the 20th of December last, a Negro or Mulatto Man Servant, aged about 28 Years, named Mark Edward, bom near Byram River, in the County of Westchester; a well set Fellow, near six Feet high, talks good English, plays well on a Fiddle, calls himself a free Fellow, goes commonly with his Head shaved, hath two Crowns on the top of his Head, small black specks or moles in his Eyes, with a scar near the middle of his Breast, and a mole on his left Breast. Had on when he went away, a good pair of Leather Breeches, a blue Broadcloth Jacket, a red Jacket under it without sleeves, a good Beaver Hat. Whoever takes up and secures said Fellow, shall have FIVE POUNDS New-York Money Reward, and all reasonable Charges paid, by me ABNER SMITH, of New-Haven, in the Colony of Connecticut. N.B. All House-keepers, and Masters of Vessels, are hereby forbid to harbour, conceal, or carry off said Fellow, as they may depend on being prosecuted according to Law. ABNER SMITH"
"Parker’s New-York Gazette; or, The Weekly Post-Boy",947,2/26/1761,"Run away on Sunday Evening the first of February, a Molatto Wench named Suck, aged about 20 Years, formerly belonging to Boshirks, Had on when she went off a Homespun Short Gown with different coloured Stripes, a Blue and white Handkerchief, a quilted petticoat, one side Light coloured the other side Black, with white Woollen Stockings; a short, and inclining to fat Wench. Likewise Run away on Monday February the 16th, a Negro Man named Prince, had on when he went off a Brown Bearskin Pea Jacket Double Breast Lapel, lined with light coloured Cloth, a short Double Breasted Red W aistcoat Brass Buttons, a pair of Cloth Breeches, Olive Colour, Red Puffs and Button-Holes, 5 Foot 10 Inches high, straight, much pitted with the small Pox, late belonging to the Widow Phillips, brought up at West-Chester. Whoever takes up either of the said Negroes, so that their Masters may have them again, shall have Three Pounds for either of them if taken in the Country, and Thirty Shillings if taken in Town for either, and all reasonable Charges paid, by Capt. HUNTER and Capt. SAMUEL BAYARD."
"Parker’s New-York Gazette; or, The Weekly Post-Boy",963,6/18/1761,"RUN AWAY, on Tuesday the 9th Inst, from the Subscriber, living at Turtle-Bay, a Mulatto Wench named Lens, 17 Years old, can speak good Dutch and English, and sings a good Song; is a handsome Wench, and may pass for a free person, as she is very well featured all but her nose, and lips, which are thick and flat, has long black curld hair and a mould on her face: Had on when she went away a homespun Josey and Pettycoat, but no shoes nor stockings. Whoever takes up and secures said wench on the Island of New-York, so that she may be had again, shall have Forty Shillings Reward, and if in another Government, Three Pounds paid by DAVID DEVORE, N.B. All Persons are forbid to harbour or entertain said W ench at their peril. Likewise, all Masters o f Vessels are forbid to carry her off."
"Parker’s New-York Gazette; or, The Weekly Post-Boy",968,7/23/1761,"RUN AWAY from JAMES BERNARD, Inn-holder at the King’s Bridge, A Negro Man, named Windsor, About 23 Years of Age, short Stature, full faced, with Blotches in his Face, and walks bow-legged: Had on when he went away, a brown Frock Livery Coat with yellow Collar and Button­ holes, white Shirt, and Waistcoat, black Shag Breeches, speckled Stockings, new Shoes, a Gold lac’d Hat, and had with him a new Beaver Hat. Whoever takes up and secures said Slave in the Work-house in New-York, shall have Twenty Shillings Reward. All Masters of Vessels and others, are warned not to harbour, conceal, or carry off the said Negro, as they will answer it at their peril."
"Pennsylvania Journal, and the Weekly Advertiser, (Philadelphia)",976,8/20/1761,"Run-away from the Subscriber a Negro Man named Quaco about five feet eight inches high, marked in the Face with sundry short strokes: Had on when he went away an old Light coloured Coat, old torn shirt, a white Pair of Trowsers, a pair of new shoes, with a Pair of brass Buckles in it, and a Pair of light coloured yarn Stockings: The said Negro had an iron Collar with two Hooks to it, round his neck, a pair of Hand-cuffs with a chain to them, six Feet long. Whosoever takes up said Negro and confines him to any Gaol, or conveys him to his Master shall have Forty Shillings Reward and all Necessary charges paid by me Joseph Carver. N.B. It is supposed that he will make for Philadelphia, for he was taken from thence the 11th Instant. The Negro talks broken English. He is a of a black complexion, and a lusty fellow. All persons are forbid harbouring said Negro, if they do, they must expect penalty of the Law. Please to enquire for the Owner at Daniel Cooper’s Ferry."
The New-York Gazette (Weyman’s),145,10/13/1761,"RUN away on the 4th of September, from Elias Wood, of Elizabeth-Town, in New-Jersey, a Negro Man named ROBIN, formerly lived with John Zobriskey, at Hackensack, and lately at James Johnston’s, on StatenIsland, used to go in his Ferry-Boat: He is a middling tall strait-lim b’d Fellow, M ark’d with the Small-pox, yellow Complexion, long curl’d Hair, a little Dutchified. Whoever secures him in any of his Majesty’s Gaols, so that his Master may have him again, shall have EIGHT DOLLARS Reward, and all reasonable Charges paid. (It’s supposed he has taken a Canoe out of Bown-Creek) N. B. All Masters of Vessels and others, are forbid carrying off said Servant."
